Plate ID,Well,Column,Ploidy,Tissue Type,Tissue,SID,Genome,Primer,CopiesPer20ul,DF,nucPer20ul,copiesPerNuc,copiesPerHapNuc,Positive_droplets,Negative_droplets,Accepted_droplets,Percentage_positives
redorun1_012521,C12,12,2,A,Leaf,Sconica_A1_matR,Mito,matR,3967,1,2015,1.968734491,0.984367246,1244,6955,8199,0.15172582
redorun1_012521,D12,12,2,A,Leaf,Sconica_A1_nad9,Mito,nad9,3880,1,2015,1.925558313,0.962779156,1842,10249,12091,0.152344719
run2_012221,C01,1,2,A,Leaf,Sconica_A2_matR,Mito,matR,4900,1,2245,2.182628062,1.091314031,2413,10431,12844,0.187869822
run2_012221,D01,1,2,A,Leaf,Sconica_A2_nad9,Mito,nad9,5280,1,2245,2.351893096,1.175946548,1202,4781,5983,0.200902557
run3_012221,G02,2,2,A,Leaf,Sconica_A3_matR,Mito,matR,3820,1,2090,1.827751196,0.913875598,1987,11250,13237,0.150109541
run3_012221,H02,2,2,A,Leaf,Sconica_A3_nad9,Mito,nad9,4160,1,2090,1.990430622,0.995215311,990,5106,6096,0.162401575
run1_012221,C10,10,2,B,Leaf,Sconica_B1_matR,Mito,matR,6060,1,1995,3.037593985,1.518796992,3053,10408,13461,0.226803358
run1_012221,D10,10,2,B,Leaf,Sconica_B1_nad9,Mito,nad9,6040,1,1995,3.027568922,1.513784461,3075,10509,13584,0.226369258
run2_012221,C02,2,2,B,Leaf,Sconica_B2_matR,Mito,matR,5560,1,2050,2.712195122,1.356097561,2959,11110,14069,0.210320563
run2_012221,D02,2,2,B,Leaf,Sconica_B2_nad9,Mito,nad9,6460,1,2050,3.151219512,1.575609756,3321,10498,13819,0.240321297
run3_012221,C01,1,2,B,Leaf,Sconica_B3_matR,Mito,matR,4580,1,2175,2.105747126,1.052873563,2484,11541,14025,0.177112299
run3_012221,D01,1,2,B,Leaf,Sconica_B3_nad9,Mito,nad9,4780,1,2175,2.197701149,1.098850575,2553,11358,13911,0.18352383
run2_012221,C04,4,2,Original,Leaf,Sconica_original_matR,Mito,matR,3680,1,4330,0.849884527,0.424942263,2356,13893,16249,0.144993538
