Species,Species_tip_drop,mito_copy,log_mito_copy,log_mito_copy_rank,plastid_copy,log_plastid_copy,mt_ds,pt_ds,time (mya),mt_ds_div_mya,log_mt_ds_div_mya,log_mt_ds_div_mya_rank,pt_ds_div_mya,log_pt_ds_div_mya,nuc_cov_method,Group,big_group,plastome_length,mt_genome_estimate,mt_total_branch_length,log_mt_total_branch_length,pt_total_branch_length,log_pt_total_branch_length,dn/ds,mito_dn,pt_dn,pt_dn_ds,dn_ds_ds
Abies_sibirica,,63.87764836,1.805348919,11.80534892,1000.604152,3.000262301,0.00389,0.029922,84.705216,4.59E-05,-4.337960553,5.662039447,0.000353249,-3.451919536,c,Gymnosperms,gymnosperms,121224,865181,0.0551,-1.258848401,0.19604,-0.707655306,1.255784062,0.004885,0.004215,0.140866252,2.74E+04
Agrostemma_githago,,27.11194453,1.433160667,11.43316067,411.4698245,2.614337991,0.004924,0.043474,32.579262,0.000151139,-3.820623198,6.179376802,0.001334407,-2.874711641,seq,Sileneae,angiosperms,151733,216593,0.1976,-0.70421306,0.47865,-0.319981937,0.252233956,0.001242,0.001013,0.023301284,1.67E+03
Arabidopsis_thaliana,,10.01186813,1.000515121,11.00051512,126.5251203,2.102176759,0.051999,0.158364,105.595831,0.000492434,-3.307651781,6.692348219,0.001499718,-2.82399031,seq,Other,angiosperms,154478,367808,0.1823,-0.739213331,0.44575,-0.350908648,0.356372238,0.018531,0.005997,0.037868455,7.24E+02
Aragoa_cleefii,,39.0118941,1.591197037,11.59119704,161.0217856,2.206884638,0.017407,0.05773,36.85753,0.000472278,-3.325802298,6.674197702,0.001566301,-2.80512467,seq,Plantagineae,angiosperms,150285,354204,0.1974,-0.704652852,0.47331,-0.32485432,0.223300971,0.003887,0.000132,0.002286506,4.73E+02
California_macrophylla,,6.637128514,0.821980227,10.82198023,205.8444153,2.313539089,0.018155,0.032961,31.106014,0.000583649,-3.23384811,6.76615189,0.001059634,-2.974843984,seq,Geraniales,angiosperms,149199,741918,0.2817,-0.550213153,0.49721,-0.303460145,0.188377857,0.00342,0.002891,0.087709718,3.23E+02
Ceratozamia_hildae,,116.6980889,2.067063744,12.06706374,1817.727011,3.259528661,0.001331,0.020808,52.603058,2.53E-05,-4.596832936,5.403167064,0.000395566,-3.402780653,c,Gymnosperms,gymnosperms,165734,208791,0.0506,-1.295849483,0.17978,-0.745258624,1.948910594,0.002594,0.001852,0.089004229,7.70E+04
Cupressus_sempervirens,,22.2175771,1.346696696,11.3466967,429.222547,2.632682527,0.002016,0.006156,19.580369,0.00010296,-3.987330344,6.012669656,0.000314397,-3.502522261,c,Gymnosperms,gymnosperms,129150,2000406,0.1905,-0.72010502,0.25666,-0.59064181,0.639880952,0.00129,0.000789,0.128167641,6.21E+03
Erodium_chrysanthum,,10.88568551,1.036855783,11.03685578,205.5579127,2.312934199,0.001511,0.014627,1.824351,0.00082824,-3.081843935,6.918156065,0.008017646,-2.095953138,seq,Geraniales,angiosperms,168946,263638,0.2725,-0.564633493,0.58958,-0.229457257,0.234943746,0.000355,0.000396,0.027073221,2.84E+02
Erodium_gruinum,,24.72415703,1.393121493,11.39312149,737.4936005,2.867758256,0.001896,0.004062,1.824351,0.001039274,-2.983270066,7.016729934,0.002226545,-2.65236848,seq,Geraniales,angiosperms,142208,247315,0.2729,-0.563996464,0.579015,-0.237310185,0.262130802,0.000497,0.000264,0.064992614,2.52E+02
Erodium_moschatum,,13.66387936,1.135574019,11.13557402,432.666777,2.636153548,0.001898,0.00988,6.78031,0.000279928,-3.552953342,6.447046658,0.001457161,-2.836492606,seq,Geraniales,angiosperms,199078,235082,0.268,-0.571865206,0.5088,-0.293452897,0.179662803,0.000341,0.000395,0.039979757,6.42E+02
