plant,mt_genome_estimate_old,mt_genome_estimate,median_gene_copy,median_gene_copy_30_cutoff,plastome_length,plastid_copy,plastid_copy_1000_cutoff,radius,mito_area,radius_plastid,plastid_area
Viviania_marifolia,191916,191916,22.9265673,22.9265673,157291,315.4887992,315.4887992,30544.38006,2930977622,25033.64015,1968783147
Ceratozamia_hildae,208791,208791,11.792562,11.792562,165734,187.1344511,187.1344511,33230.11972,3469074964,26377.38534,2185814791
Agrostemma_githago,216593,216593,7.9363073,7.9363073,151733,242.8425407,242.8425407,34471.84659,3733180334,24149.05698,1832104431
Erodium_moschatum,235082,235082,14.2366319,14.2366319,199078,432.666777,432.666777,37414.46233,4397733317,31684.24776,3153818338
Erodium_trifolium,186896,242680,22.2888474,22.2888474,123865,343.0085137,343.0085137,38623.72159,4686602378,19713.72703,1220920399
Erodium_gruinum,247315,247315,24.5883143,24.5883143,142208,730.7203443,730.7203443,39361.40475,4867332908,22633.10615,1609304379
Silene_latifolia,253000,253000,63.3271684,30,151736,615.7571595,615.7571595,40266.2006,5093674376,24149.53444,1832176879
Geranium_phaeum,260444,260444,38.8609604,30,182317,649.6879544,649.6879544,41450.95,5397825611,29016.65176,2645114449
Erodium_chrysanthum,263638,263638,10.8237275,10.8237275,168946,206.6994671,206.6994671,41959.29089,5531031765,26888.59102,2271359949
Ginkgo_biloba,285030,285030,329.8772008,30,157002,553.2476223,553.2476223,45363.93343,6465040973,24987.64438,1961555071
Silene_vulgaris,340203,340203,27.6966912,27.6966912,151583,166.9115566,166.9115566,54144.9891,9210143864,24125.18374,1828483863
Aragoa_cleefii,354204,354204,40.5289304,30,150285,161.536899,161.536899,56373.31746,9983827269,23918.60062,1797303447
Aragoa_abietina,357044,357044,62.6744039,30,150320,172.8815383,172.8815383,56825.3175,10144569331,23924.17105,1798140696
Arabidopsis_thaliana,367808,367808,10.0643587,10.0643587,154478,126.5249001,126.5249001,58538.46131,10765457189,24585.9373,1898993211
Taxus_baccata,375440,375440,28.3681442,28.3681442,128653,486.6180675,486.6180675,59753.13183,11216857908,20475.76089,1317134033
Nicotiana_tabacum,430597,430597,23.844468,23.844468,155939,511.6628163,511.6628163,68531.64103,14754759516,24818.46267,1935083125
Melianthus_villosus,433798,433798,24.1108334,24.1108334,156510,791.2573231,791.2573231,69041.096,14974944682,24909.34014,1949280413
Francoa_sonchifolia,440156,440156,11.0131522,11.0131522,157312,155.9030527,155.9030527,70053.00313,15417124823,25036.98241,1969308888
Geranium_maderense,441181,441181,13.0659112,13.0659112,155694,241.4803723,241.4803723,70216.13695,15489012757,24779.46971,1929007378
Zamia_integrifolia,450136,450136,68.2703173,30,165024,1164.986227,1000,71641.36946,16124179742,26264.38533,2167126962
Erodium_texanum,506761,506761,9.8623414,9.8623414,130812,429.7869024,429.7869024,80653.51812,20436028747,20819.37642,1361712134
Monsonia_emarginata,543302,543302,12.8992924,12.8992924,156877,624.5853996,624.5853996,86469.19889,23489444348,24967.75001,1958432859
